2026-01-13 11:05:16.161637 | SRC=198.162.34.0 -> DST=198.162.34.128 | ALLOWED
2026-01-13 11:14:09.594173 | SRC=198.162.34.4 -> DST=198.162.34.128 | ALLOWED
2026-01-13 11:14:11.744512 | SRC=198.162.34.4 -> DST=198.162.34.128 | ALLOWED
2026-01-13 11:14:12.132132 | SRC=198.162.34.4 -> DST=198.162.34.128 | ALLOWED
2026-01-13 11:14:12.350457 | SRC=198.162.34.4 -> DST=198.162.34.128 | ALLOWED
2026-01-13 11:14:21.555134 | SRC=198.162.34.4 -> DST=198.162.34.130 | ALLOWED
2026-01-13 11:14:22.294971 | SRC=198.162.34.4 -> DST=198.162.34.130 | ALLOWED
2026-01-13 11:14:22.492971 | SRC=198.162.34.4 -> DST=198.162.34.130 | ALLOWED
2026-01-13 11:14:22.709192 | SRC=198.162.34.4 -> DST=198.162.34.130 | ALLOWED
2026-01-13 11:14:23.429663 | SRC=198.162.34.4 -> DST=198.162.34.130 | ALLOWED
2026-01-13 11:14:23.607221 | SRC=198.162.34.4 -> DST=198.162.34.130 | ALLOWED
2026-01-13 11:14:23.806042 | SRC=198.162.34.4 -> DST=198.162.34.130 | ALLOWED
2026-01-13 11:14:24.021846 | SRC=198.162.34.4 -> DST=198.162.34.130 | ALLOWED
2026-01-14 08:47:12 | SRC=192.168.1.1 -> DST=192.168.1.129 | ALLOWED
